,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,property_type,room_type,bathrooms_text,instant_bookable,minimum_nights,maximum_nights
594,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Bajo
595,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
596,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
597,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Bajo
598,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
599,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
600,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
601,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Bajo
602,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
603,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
604,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
605,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
606,Rapida,Respuesta alta,f,t,No Entire,No Entire,Limitados,t,Bajo,Alto
607,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
608,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
609,Rapida,Respuesta alta,f,t,No Entire,No Entire,Limitados,t,Bajo,Alto
610,Rapida,Respuesta alta,f,t,No Entire,No Entire,Limitados,t,Bajo,Alto
611,Rapida,Respuesta alta,f,t,No Entire,No Entire,Limitados,t,Bajo,Alto
612,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
613,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
614,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
615,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
616,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
617,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
618,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
619,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
620,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
621,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
622,No rapida,Respuesta baja,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
623,No rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
624,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
625,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
626,No rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
627,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
628,No rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
629,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
630,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
631,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
632,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
633,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
634,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
635,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
636,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
637,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
638,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
639,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
640,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
641,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
642,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
643,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
644,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
645,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
646,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
647,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
648,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
649,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
650,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
651,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
652,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
653,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
654,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
655,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
656,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
657,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
658,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
659,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
660,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
661,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
662,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
663,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
664,Rapida,Respuesta alta,t,t,No Entire,No Entire,Limitados,f,Alto,Bajo
665,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
666,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
667,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
668,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
669,No rapida,Respuesta alta,f,t,No Entire,No Entire,No limitados,f,Alto,Alto
670,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
671,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
672,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
673,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
674,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Bajo
675,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
676,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
677,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
678,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
679,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Bajo
680,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
681,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
682,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
683,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
684,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
685,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
686,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
687,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
688,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
689,Rapida,Respuesta alta,t,t,No Entire,Entire home/apt,No limitados,t,Bajo,Alto
690,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
691,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
692,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
693,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
694,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
695,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
696,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
697,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
698,Rapida,Respuesta alta,t,t,No Entire,Entire home/apt,No limitados,t,Bajo,Alto
699,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
700,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
701,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
702,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
703,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
704,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
705,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
706,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Bajo
707,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
708,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
709,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
710,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Bajo
711,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
712,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
713,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
714,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
715,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
716,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
717,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Bajo
718,Rapida,Respuesta alta,t,f,No Entire,No Entire,No limitados,f,Bajo,Bajo
719,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
720,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
721,Rapida,Respuesta alta,t,t,No Entire,No Entire,Limitados,t,Alto,Alto
722,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
723,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
724,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
725,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
726,Rapida,Respuesta alta,f,f,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
727,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
728,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
729,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
730,No rapida,Respuesta alta,f,f,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
731,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
732,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
733,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
734,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
735,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
736,Rapida,Respuesta alta,t,t,No Entire,No Entire,No limitados,f,Alto,Alto
737,No rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
738,No rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
739,No rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
740,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
741,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
742,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
743,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Bajo
744,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Bajo
745,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
746,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
747,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
748,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
749,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
750,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
751,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
752,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
753,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
754,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
755,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
756,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
757,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
758,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
759,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
760,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
761,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
762,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
763,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
764,Rapida,Respuesta alta,t,t,No Entire,No Entire,No limitados,f,Alto,Alto
765,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
766,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
767,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
768,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
769,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
770,Rapida,Respuesta alta,t,t,No Entire,No Entire,No limitados,t,Alto,Bajo
771,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
772,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
773,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
774,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Bajo
775,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
776,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Bajo
777,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
778,Rapida,Respuesta alta,t,t,No Entire,No Entire,Limitados,t,Alto,Alto
779,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
780,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
781,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
782,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
783,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
784,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
785,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
786,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
787,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
788,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
789,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
790,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
791,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
792,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
793,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
794,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
795,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
796,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
797,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
798,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
799,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
800,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
801,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
802,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
803,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
804,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
805,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
806,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
807,Rapida,Respuesta alta,f,t,No Entire,No Entire,Limitados,f,Alto,Alto
808,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
809,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
810,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
811,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
812,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
813,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
814,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
815,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
816,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
817,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
818,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
819,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
820,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
821,No rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
822,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
823,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
824,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
825,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
826,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Bajo
827,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
828,No rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
829,Rapida,Respuesta alta,f,t,No Entire,No Entire,Limitados,t,Bajo,Alto
830,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Bajo
831,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
832,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
833,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
834,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
835,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Bajo
836,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
837,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
838,No rapida,Respuesta alta,f,f,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
839,Rapida,Respuesta alta,f,t,No Entire,No Entire,Limitados,t,Bajo,Alto
840,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
841,No rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
842,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
843,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
844,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
845,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
846,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Bajo
847,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
848,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
849,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
850,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
851,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
852,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
853,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Bajo
854,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
855,Rapida,Respuesta alta,f,t,No Entire,No Entire,No limitados,f,Alto,Bajo
856,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
857,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
858,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
859,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
860,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
861,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Bajo
862,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
863,Rapida,Respuesta alta,f,t,No Entire,No Entire,Limitados,f,Alto,Alto
864,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Bajo,Alto
865,No rapida,Respuesta baja,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
866,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
867,Rapida,Respuesta alta,t,t,No Entire,No Entire,No limitados,f,Bajo,Bajo
868,Rapida,Respuesta alta,t,t,No Entire,No Entire,No limitados,f,Bajo,Bajo
869,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Bajo
870,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
871,Rapida,Respuesta alta,t,t,No Entire,No Entire,Limitados,t,Bajo,Bajo
872,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Bajo,Alto
873,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
874,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
875,Rapida,Respuesta alta,f,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
876,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Bajo
877,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
878,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
879,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,t,Alto,Alto
880,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
881,Rapida,Respuesta alta,f,f,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
882,Rapida,Respuesta alta,t,t,Entire Place,Entire home/apt,No limitados,f,Alto,Alto
